"gene","pathway"
"ERVW-1","DOID.10591"
"HIF1A","DOID.10591"
"HLA-G","DOID.10591"
"HMOX1","DOID.10591"
"HMOX2","DOID.10591"
"SLC29A2","DOID.10591"
"HP","DOID.10591"
"APEX1","DOID.10591"
"HSD11B2","DOID.10591"
"HSPA4","DOID.10591"
"HSPA5","DOID.10591"
"HSPB1","DOID.10591"
"ICAM1","DOID.10591"
"APOC3","DOID.10591"
"IFNG","DOID.10591"
"IFNGR1","DOID.10591"
"IFNGR2","DOID.10591"
"IGF1","DOID.10591"
"APOE","DOID.10591"
"IGF2","DOID.10591"
"IGFBP1","DOID.10591"
"IGFBP5","DOID.10591"
"CYR61","DOID.10591"
"SLCO4C1","DOID.10591"
"FAS","DOID.10591"
"FASLG","DOID.10591"
"IL4","DOID.10591"
"IL6","DOID.10591"
"IL6R","DOID.10591"
"IL6ST","DOID.10591"
"CXCL8","DOID.10591"
"IL10","DOID.10591"
"IL15","DOID.10591"
"IL16","DOID.10591"
"IL18","DOID.10591"
"IDO1","DOID.10591"
"INHA","DOID.10591"
"INHBA","DOID.10591"
"INHBB","DOID.10591"
"INHBC","DOID.10591"
"CXCL10","DOID.10591"
"INSL3","DOID.10591"
"AQP9","DOID.10591"
"AR","DOID.10591"
"KDR","DOID.10591"
"KIR2DL4","DOID.10591"
"KIR3DL2","DOID.10591"
"KISS1","DOID.10591"
"ARG1","DOID.10591"
"ARG2","DOID.10591"
"FLT1P1","DOID.10591"
"LCN2","DOID.10591"
"LEP","DOID.10591"
"LEPR","DOID.10591"
"LGALS1","DOID.10591"
"LIF","DOID.10591"
"LIPC","DOID.10591"
"LIPE","DOID.10591"
"LNPEP","DOID.10591"
"LPL","DOID.10591"
"MIR155","DOID.10591"
"MBL2","DOID.10591"
"MIF","DOID.10591"
"MMP1","DOID.10591"
"MMP2","DOID.10591"
"MMP9","DOID.10591"
"MTHFR","DOID.10591"
"NFE2L2","DOID.10591"
"NODAL","DOID.10591"
"NOS1","DOID.10591"
"NOS2","DOID.10591"
"NOS3","DOID.10591"
"NOV","DOID.10591"
"NPHS1","DOID.10591"
"OLR1","DOID.10591"
"TNFRSF11B","DOID.10591"
"OSM","DOID.10591"
"SERPINE1","DOID.10591"
"PAPPA","DOID.10591"
"ENPP1","DOID.10591"
"ENPP2","DOID.10591"
"PEE1","DOID.10591"
"PGF","DOID.10591"
"PLAU","DOID.10591"
"POMC","DOID.10591"
"PON1","DOID.10591"
"PPARD","DOID.10591"
"PPARG","DOID.10591"
"PRCP","DOID.10591"
"MAPK1","DOID.10591"
"MAPK3","DOID.10591"
"HTRA1","DOID.10591"
"RETN","DOID.10591"
"PSG5","DOID.10591"
"STOX2","DOID.10591"
"PTGS1","DOID.10591"
"PTGS2","DOID.10591"
"PTX3","DOID.10591"
"PYGM","DOID.10591"
"RBP4","DOID.10591"
"REN","DOID.10591"
"PAPPA2","DOID.10591"
"BDKRB2","DOID.10591"
"S100B","DOID.10591"
"BGN","DOID.10591"
"CCL2","DOID.10591"
"SELE","DOID.10591"
"SELL","DOID.10591"
"SELP","DOID.10591"
"C19orf33","DOID.10591"
"NOD2","DOID.10591"
"ERAP2","DOID.10591"
"SLC1A5","DOID.10591"
"SLC4A1","DOID.10591"
"SLC6A2","DOID.10591"
"SLC9A3","DOID.10591"
"SLC22A3","DOID.10591"
"SOD1","DOID.10591"
"SOD2","DOID.10591"
"SOD3","DOID.10591"
"BOK","DOID.10591"
"TAC3","DOID.10591"
"TAP1","DOID.10591"
"TAP2","DOID.10591"
"TDO2","DOID.10591"
"TEK","DOID.10591"
"TFAP2A","DOID.10591"
"TFAP2C","DOID.10591"
"TFPI","DOID.10591"
"TGFB1","DOID.10591"
"TH","DOID.10591"
"THBD","DOID.10591"
"TLR2","DOID.10591"
"TLR4","DOID.10591"
"TNF","DOID.10591"
"TPBG","DOID.10591"
"ACTG2","DOID.10591"
"CCR2","DOID.10591"
"UCN","DOID.10591"
"NR1H2","DOID.10591"
"VCAM1","DOID.10591"
"VEGFA","DOID.10591"
"VEGFC","DOID.10591"
"VTN","DOID.10591"
"VWF","DOID.10591"
"XDH","DOID.10591"
"XRCC1","DOID.10591"
"LEPQTL1","DOID.10591"
"CALCA","DOID.10591"
"TFPI2","DOID.10591"
"ADAM12","DOID.10591"
"CALR","DOID.10591"
"DYSF","DOID.10591"
"CAT","DOID.10591"
"GCM1","DOID.10591"
"TNFSF11","DOID.10591"
"PROZ","DOID.10591"
"APLN","DOID.10591"
"SOCS3","DOID.10591"
"UCN2","DOID.10591"
"EBAG9","DOID.10591"
"ACVR2A","DOID.10591"
"ADIPOQ","DOID.10591"
"CD28","DOID.10591"
"MUC16","DOID.10591"
"HTRA3","DOID.10591"
"TNFRSF8","DOID.10591"
"SIGLEC6","DOID.10591"
"ROCK2","DOID.10591"
"GDF15","DOID.10591"
"CD40","DOID.10591"
"CD40LG","DOID.10591"
"CD74","DOID.10591"
"CUL7","DOID.10591"
"NAT2","DOID.11836"
"CHST14","DOID.11836"
"COL1A1","DOID.11836"
"COL9A1","DOID.11836"
"CTNNB1","DOID.11836"
"CYP1A1","DOID.11836"
"EPHX1","DOID.11836"
"FHL1","DOID.11836"
"CAND2","DOID.11836"
"GLI3","DOID.11836"
"HOXD10","DOID.11836"
"HOXD12","DOID.11836"
"HOXD13","DOID.11836"
"MTHFR","DOID.11836"
"MYH3","DOID.11836"
"TNNT3","DOID.11836"
"TPM2","DOID.11836"
"WNT7A","DOID.11836"
"NAT2","DOID.11934"
"TXNIP","DOID.11934"
"GJB6","DOID.11934"
"CCR5","DOID.11934"
"CTNNB1","DOID.11934"
"CYP1A1","DOID.11934"
"CYP1B1","DOID.11934"
"CYP2A6","DOID.11934"
"CYP2A13","DOID.11934"
"CYP2E1","DOID.11934"
"JAG1","DOID.11934"
"DSG3","DOID.11934"
"EGF","DOID.11934"
"EGFR","DOID.11934"
"EIF4E","DOID.11934"
"ENO1","DOID.11934"
"EPAS1","DOID.11934"
"EPHX1","DOID.11934"
"EPO","DOID.11934"
"EPOR","DOID.11934"
"ERCC2","DOID.11934"
"ERCC4","DOID.11934"
"GJB2","DOID.11934"
"GNAS","DOID.11934"
"GSTM1","DOID.11934"
"GSTP1","DOID.11934"
"GSTT1","DOID.11934"
"H2AFX","DOID.11934"
"HIF1A","DOID.11934"
"BIRC5","DOID.11934"
"HSPD1","DOID.11934"
"IGF1","DOID.11934"
"APOE","DOID.11934"
"IGF1R","DOID.11934"
"IGFBP3","DOID.11934"
"FAS","DOID.11934"
"IL2RA","DOID.11934"
"FASLG","DOID.11934"
"AR","DOID.11934"
"LDHA","DOID.11934"
"MIR210","DOID.11934"
"MAL","DOID.11934"
"MGMT","DOID.11934"
"CIITA","DOID.11934"
"MKI67","DOID.11934"
"MLH1","DOID.11934"
"ABCC1","DOID.11934"
"MSH2","DOID.11934"
"MTR","DOID.11934"
"MTRR","DOID.11934"
"MUTYH","DOID.11934"
"NOS2","DOID.11934"
"FURIN","DOID.11934"
"ING4","DOID.11934"
"TLR7","DOID.11934"
"HECA","DOID.11934"
"ING3","DOID.11934"
"UGT1A7","DOID.11934"
"UGT1A1","DOID.11934"
"PTGS1","DOID.11934"
"PTGS2","DOID.11934"
"RAD51","DOID.11934"
"RARB","DOID.11934"
"ROBO1","DOID.11934"
"BRCA1","DOID.11934"
"STAT3","DOID.11934"
"STAT5A","DOID.11934"
"STAT5B","DOID.11934"
"STK11","DOID.11934"
"ADAM17","DOID.11934"
"TCF21","DOID.11934"
"TIMP3","DOID.11934"
"TNF","DOID.11934"
"TP53","DOID.11934"
"TP73","DOID.11934"
"VEGFA","DOID.11934"
"XRCC1","DOID.11934"
"XRCC3","DOID.11934"
"YWHAZ","DOID.11934"
"RUNX3","DOID.11934"
"TAX1BP1","DOID.11934"
"NAT1","DOID.11934"
"CD44","DOID.11934"
"NAT2","DOID.1240"
"ABI1","DOID.1240"
"CD24","DOID.1240"
"BCL2L10","DOID.1240"
"BCL2L11","DOID.1240"
"MICA","DOID.1240"
"DNM1L","DOID.1240"
"RBM6","DOID.1240"
"CDK4","DOID.1240"
"PSME3","DOID.1240"
"CDK5","DOID.1240"
"CDK6","DOID.1240"
"OLIG2","DOID.1240"
"CD96","DOID.1240"
"MSLN","DOID.1240"
"ABCC4","DOID.1240"
"CDKN1A","DOID.1240"
"CDKN1B","DOID.1240"
"CDKN1C","DOID.1240"
"CDKN2A","DOID.1240"
"CDKN2B","DOID.1240"
"IKZF1","DOID.1240"
"TRIM22","DOID.1240"
"NDRG1","DOID.1240"
"PIAS3","DOID.1240"
"RAPGEF3","DOID.1240"
"YAP1","DOID.1240"
"CDX2","DOID.1240"
"MERTK","DOID.1240"
"NCOA2","DOID.1240"
"CEBPA","DOID.1240"
"SEMA4D","DOID.1240"
"CEBPB","DOID.1240"
"CEBPD","DOID.1240"
"KAT5","DOID.1240"
"CEBPE","DOID.1240"
"ARL6IP5","DOID.1240"
"OLFM4","DOID.1240"
"CXCL13","DOID.1240"
"GNLY","DOID.1240"
"USP16","DOID.1240"
"TXNIP","DOID.1240"
"TNFSF13B","DOID.1240"
"SEPT9","DOID.1240"
"CCR9","DOID.1240"
"LILRB1","DOID.1240"
"HCST","DOID.1240"
"NMU","DOID.1240"
"MLLT11","DOID.1240"
"MAPRE2","DOID.1240"
"IL24","DOID.1240"
"GLIPR1","DOID.1240"
"CHEK1","DOID.1240"
"CD160","DOID.1240"
"PSIP1","DOID.1240"
"ABCB8","DOID.1240"
"WIF1","DOID.1240"
"CHEK2","DOID.1240"
"SLC46A1","DOID.1240"
"CHUK","DOID.1240"
"FCRL1","DOID.1240"
"FCRL3","DOID.1240"
"CISH","DOID.1240"
"TNFRSF13C","DOID.1240"
"RASGRP4","DOID.1240"
"CKMT2","DOID.1240"
"TWIST2","DOID.1240"
"CLC","DOID.1240"
"GSTO2","DOID.1240"
"HIST4H4","DOID.1240"
"CCR4","DOID.1240"
"MSI2","DOID.1240"
"CNR2","DOID.1240"
"XRCC6P3","DOID.1240"
"UHMK1","DOID.1240"
"MAP3K8","DOID.1240"
"IL31RA","DOID.1240"
"PACRG","DOID.1240"
"CCDC26","DOID.1240"
"CREB1","DOID.1240"
"CREBBP","DOID.1240"
"CREM","DOID.1240"
"AMER1","DOID.1240"
"CRKL","DOID.1240"
"CRMP1","DOID.1240"
"CRY1","DOID.1240"
"SIRPA","DOID.1240"
"PARP1","DOID.1240"
"CRYZ","DOID.1240"
"MAPK14","DOID.1240"
"CSF1R","DOID.1240"
"CSF2","DOID.1240"
"CSF3R","DOID.1240"
"CSNK2B","DOID.1240"
"CSPG4","DOID.1240"
"NKX2-5","DOID.1240"
"CTBP2","DOID.1240"
"CTNNB1","DOID.1240"
"SEPT10","DOID.1240"
"CTSG","DOID.1240"
"CCDC50","DOID.1240"
"CUX1","DOID.1240"
"CX3CR1","DOID.1240"
"CYBA","DOID.1240"
"ADRB2","DOID.1240"
"CYP1A1","DOID.1240"
"CYP1A2","DOID.1240"
"CYP2B6","DOID.1240"
"CYP2D6","DOID.1240"
"CYP2E1","DOID.1240"
"CYP3A5","DOID.1240"
"CYP19A1","DOID.1240"
"CLEC12A","DOID.1240"
"CLECL1","DOID.1240"
"DAPK1","DOID.1240"
"DAXX","DOID.1240"
"SPRED1","DOID.1240"
"DCC","DOID.1240"
"DCK","DOID.1240"
"ACE","DOID.1240"
"GADD45A","DOID.1240"
"DDIT3","DOID.1240"
"AES","DOID.1240"
"DEFA1","DOID.1240"
"DEFA3","DOID.1240"
"ZNF384","DOID.1240"
"ASXL1","DOID.1240"
"PTCRA","DOID.1240"
"DHFR","DOID.1240"
"NQO1","DOID.1240"
"DLX3","DOID.1240"
"DMD","DOID.1240"
"DNMT1","DOID.1240"
"TRDMT1","DOID.1240"
"DNMT3A","DOID.1240"
"DNMT3B","DOID.1240"
"DOCK2","DOID.1240"
"DPP4","DOID.1240"
"JAG1","DOID.1240"
"ARID3A","DOID.1240"
"DUSP2","DOID.1240"
"DUSP7","DOID.1240"
"E2F1","DOID.1240"
"S1PR1","DOID.1240"
"EDNRB","DOID.1240"
"NEWENTRY","DOID.1240"
"EFNA4","DOID.1240"
"EFNA5","DOID.1240"
"EGF","DOID.1240"
"EGFR","DOID.1240"
"EGR1","DOID.1240"
"AHR","DOID.1240"
"EPHA2","DOID.1240"
"EIF4EBP1","DOID.1240"
"EIF4G2","DOID.1240"
"ELANE","DOID.1240"
"ELF4","DOID.1240"
"ELK1","DOID.1240"
"TET3","DOID.1240"
"UNC13D","DOID.1240"
"ENO2","DOID.1240"
"EPHA3","DOID.1240"
"EPHB4","DOID.1240"
"EPHX1","DOID.1240"
"EPO","DOID.1240"
"EPOR","DOID.1240"
"ERBB2","DOID.1240"
"ERCC2","DOID.1240"
"AKT1","DOID.1240"
"ERF","DOID.1240"
"ERG","DOID.1240"
"ESR1","DOID.1240"
"ABCA3","DOID.1240"
"ETV6","DOID.1240"
"MECOM","DOID.1240"
"ALB","DOID.1240"
"EWSR1","DOID.1240"
"EZH2","DOID.1240"
"F3","DOID.1240"
"F13A1","DOID.1240"
"FANCA","DOID.1240"
"FANCC","DOID.1240"
"FANCD2","DOID.1240"
"PTK2B","DOID.1240"
"FCER1A","DOID.1240"
"FCER2","DOID.1240"
"FCGR2A","DOID.1240"
"FCGR3A","DOID.1240"
"FGF2","DOID.1240"
"FGF4","DOID.1240"
"FHIT","DOID.1240"
"FHL2","DOID.1240"
"VEGFD","DOID.1240"
"IKZF3","DOID.1240"
"IKZF2","DOID.1240"
"KLRK1","DOID.1240"
"DKK1","DOID.1240"
"NT5C2","DOID.1240"
"ACIN1","DOID.1240"
"FOXM1","DOID.1240"
"FOXO1","DOID.1240"
"ERC1","DOID.1240"
"PEG10","DOID.1240"
"FOXO3","DOID.1240"
"ARHGAP26","DOID.1240"
"FLT1","DOID.1240"
"FLT3","DOID.1240"
"SYNE2","DOID.1240"
"FLT3LG","DOID.1240"
"PLCB1","DOID.1240"
"PHLPP1","DOID.1240"
"FLT4","DOID.1240"
"WWC1","DOID.1240"
"ICOSLG","DOID.1240"
"FMOD","DOID.1240"
"FN1","DOID.1240"
"ABCB10","DOID.1240"
"FOLR1","DOID.1240"
"SUZ12","DOID.1240"
"PRAME","DOID.1240"
"FOSL2","DOID.1240"
"FPGS","DOID.1240"
"PADI4","DOID.1240"
"DDX58","DOID.1240"
"SSBP2","DOID.1240"
"HSPBP1","DOID.1240"
"LDOC1","DOID.1240"
"CADM1","DOID.1240"
"OSBP2","DOID.1240"
"ALK","DOID.1240"
"ALOX15","DOID.1240"
"MTOR","DOID.1240"
"NR5A2","DOID.1240"
"ABL1","DOID.1240"
"FUS","DOID.1240"
"FUT4","DOID.1240"
"FYN","DOID.1240"
"SLC39A6","DOID.1240"
"PRKD2","DOID.1240"
"GAPDH","DOID.1240"
"L3MBTL1","DOID.1240"
"ZNF451","DOID.1240"
"SENP3","DOID.1240"
"GAS2","DOID.1240"
"GAS6","DOID.1240"
"GATA1","DOID.1240"
"GATA2","DOID.1240"
"GNL3","DOID.1240"
"GFI1","DOID.1240"
"GGT1","DOID.1240"
"GJA1","DOID.1240"
"ABL2","DOID.1240"
"ZBTB32","DOID.1240"
"NOX1","DOID.1240"
"SIGLEC7","DOID.1240"
"FOXP1","DOID.1240"
"B3GAT1","DOID.1240"
"BBC3","DOID.1240"
"PDE7B","DOID.1240"
"AFF4","DOID.1240"
"SIGLEC9","DOID.1240"
"APOBEC3C","DOID.1240"
"GNAS","DOID.1240"
"ABO","DOID.1240"
"SLCO1B3","DOID.1240"
"ANG","DOID.1240"
"CXCR3","DOID.1240"
"KSR2","DOID.1240"
"KCNRG","DOID.1240"
"IGHV3-21","DOID.1240"
"ANGPT2","DOID.1240"
"IGHD3-3","DOID.1240"
"DLL1","DOID.1240"
"P2RY8","DOID.1240"
"GRB7","DOID.1240"
"RAPGEF1","DOID.1240"
"GRIA3","DOID.1240"
"GRN","DOID.1240"
"FLVCR1","DOID.1240"
"MACROD1","DOID.1240"
"HIPK2","DOID.1240"
"ANPEP","DOID.1240"
"NR3C1","DOID.1240"
"PYCARD","DOID.1240"
"CD274","DOID.1240"
"GSK3A","DOID.1240"
"GSK3B","DOID.1240"
"GSR","DOID.1240"
"GSTM1","DOID.1240"
"GSTP1","DOID.1240"
"GSTT1","DOID.1240"
"SENP1","DOID.1240"
"DPP7","DOID.1240"
"NRBP1","DOID.1240"
"TBX21","DOID.1240"
"TLX3","DOID.1240"
"GZMB","DOID.1240"
"ANXA2","DOID.1240"
"HCFC1","DOID.1240"
"HCLS1","DOID.1240"
"HTT","DOID.1240"
"HDAC1","DOID.1240"
"HFE","DOID.1240"
"KCNIP3","DOID.1240"
"HGF","DOID.1240"
"CD209","DOID.1240"
"HHEX","DOID.1240"
"HIF1A","DOID.1240"
"HLA-A","DOID.1240"
"HLA-B","DOID.1240"
"MNX1","DOID.1240"
"HLA-DPB1","DOID.1240"
"HLA-DQB1","DOID.1240"
"HLA-DRA","DOID.1240"
"HLA-DRB1","DOID.1240"
"HLA-DRB4","DOID.1240"
"HLF","DOID.1240"
"HLA-G","DOID.1240"
"MR1","DOID.1240"
"HMGB1","DOID.1240"
"HMGA1","DOID.1240"
"HMMR","DOID.1240"
"HMOX1","DOID.1240"
"NR4A1","DOID.1240"
"APAF1","DOID.1240"
"SLC29A2","DOID.1240"
"HNRNPA1","DOID.1240"
"HNRNPK","DOID.1240"
"TLX1","DOID.1240"
"HOXA@","DOID.1240"
"HOXA4","DOID.1240"
"HOXA9","DOID.1240"
"HOXA10","DOID.1240"
"HOXA11","DOID.1240"
"HOXA13","DOID.1240"
"HOXD11","DOID.1240"
"HOXD13","DOID.1240"
"HPRT1","DOID.1240"
"HRAS","DOID.1240"
"APEX1","DOID.1240"
"HES1","DOID.1240"
"BIRC2","DOID.1240"
"BIRC3","DOID.1240"
"HSPA1A","DOID.1240"
"HSPA1B","DOID.1240"
"HSPA1L","DOID.1240"
"HSPA4","DOID.1240"
"XIAP","DOID.1240"
"HSPB1","DOID.1240"
"BIRC5","DOID.1240"
"HSP90AA1","DOID.1240"
"HSP90AA2P","DOID.1240"
"HSP90AB1","DOID.1240"
"HSPD1","DOID.1240"
"ICAM1","DOID.1240"
"BLACE","DOID.1240"
"IRF8","DOID.1240"
"ID1","DOID.1240"
"ID2","DOID.1240"
"ID4","DOID.1240"
"IDH1","DOID.1240"
"IDH2","DOID.1240"
"IFNA1","DOID.1240"
"IFNG","DOID.1240"
"IFNGR1","DOID.1240"
"IGF1","DOID.1240"
"APOE","DOID.1240"
"IGF1R","DOID.1240"
"IGFBP2","DOID.1240"
"IGFBP7","DOID.1240"
"IGH","DOID.1240"
"IGHD","DOID.1240"
NA,"DOID.1240"
"IGHM","DOID.1240"
NA,"DOID.1240"
"APP","DOID.1240"
"RBPJ","DOID.1240"
"FAS","DOID.1240"
"IL1A","DOID.1240"
"IL1B","DOID.1240"
"IL1RAP","DOID.1240"
"IL2","DOID.1240"
"IL2RA","DOID.1240"
"FASLG","DOID.1240"
"IL2RB","DOID.1240"
"IL2RG","DOID.1240"
"IL3","DOID.1240"
"IL3RA","DOID.1240"
"IL4","DOID.1240"
"IL4R","DOID.1240"
"IL5","DOID.1240"
"IL5RA","DOID.1240"
"IL6","DOID.1240"
"IL6ST","DOID.1240"
"IL7","DOID.1240"
"CXCL8","DOID.1240"
"CXCR1","DOID.1240"
"IL10","DOID.1240"
"IL11","DOID.1240"
"IL12B","DOID.1240"
"IL15","DOID.1240"
"IL18","DOID.1240"
"IMPA2","DOID.1240"
"AQP5","DOID.1240"
"IDO1","DOID.1240"
"INPP5D","DOID.1240"
"IRF4","DOID.1240"
"AR","DOID.1240"
"ITGA4","DOID.1240"
"ITGAL","DOID.1240"
"ITGAM","DOID.1240"
"ITGAX","DOID.1240"
"ITGB1","DOID.1240"
"ITGB2","DOID.1240"
"ITPA","DOID.1240"
"JAK1","DOID.1240"
"JAK2","DOID.1240"
"JAK3","DOID.1240"
"JUN","DOID.1240"
"JUNB","DOID.1240"
"JUND","DOID.1240"
"KCNH1","DOID.1240"
"KCNH2","DOID.1240"
"KDR","DOID.1240"
"KIR2DL1","DOID.1240"
"KIR2DL2","DOID.1240"
"KIR2DS3","DOID.1240"
"KIR2DS4","DOID.1240"
"KIR2DS5","DOID.1240"
"KIR3DL1","DOID.1240"
"KIT","DOID.1240"
"KLRC1","DOID.1240"
"KRAS","DOID.1240"
"RHOA","DOID.1240"
"AFF3","DOID.1240"
"LAMP1","DOID.1240"
"RPSA","DOID.1240"
"LCN2","DOID.1240"
"LDHA","DOID.1240"
"LEP","DOID.1240"
"LEPR","DOID.1240"
"LIF","DOID.1240"
"LIFR","DOID.1240"
"LIG4","DOID.1240"
"RHOH","DOID.1240"
"LMO1","DOID.1240"
"LMO2","DOID.1240"
"LPL","DOID.1240"
"ARNT","DOID.1240"
"LTC4S","DOID.1240"
"LTF","DOID.1240"
"LY75","DOID.1240"
"LYN","DOID.1240"
"LYZ","DOID.1240"
"MIR10A","DOID.1240"
"MIR1-2","DOID.1240"
"MIR124-1","DOID.1240"
"MIR125B1","DOID.1240"
"MIR15A","DOID.1240"
"MIR16-1","DOID.1240"
"MIR17","DOID.1240"
"MIR21","DOID.1240"
"MIR221","DOID.1240"
"MIR222","DOID.1240"
"MIR223","DOID.1240"
"MIR29A","DOID.1240"
"MIR29C","DOID.1240"
"MIR34A","DOID.1240"
"MIR34B","DOID.1240"
"MIR34C","DOID.1240"
"MXD1","DOID.1240"
"SMAD2","DOID.1240"
"SMAD3","DOID.1240"
"SMAD7","DOID.1240"
"MAGEA3","DOID.1240"
"MBP","DOID.1240"
"MCL1","DOID.1240"
"MDK","DOID.1240"
"MDM2","DOID.1240"
"ME2","DOID.1240"
"MEF2C","DOID.1240"
"MEFV","DOID.1240"
"MEIS1","DOID.1240"
"MAP3K5","DOID.1240"
"MEN1","DOID.1240"
"MET","DOID.1240"
"KITLG","DOID.1240"
"MGMT","DOID.1240"
"CIITA","DOID.1240"
"ASAH1","DOID.1240"
NA,"DOID.1240"
"MICB","DOID.1240"
"MIF","DOID.1240"
"MKI67","DOID.1240"
"MLF1","DOID.1240"
"MLH1","DOID.1240"
"MAP3K9","DOID.1240"
"KMT2A","DOID.1240"
"MLLT1","DOID.1240"
"AFF1","DOID.1240"
"ACHE","DOID.1240"
"MLLT3","DOID.1240"
"AFDN","DOID.1240"
"MLLT6","DOID.1240"
"FOXO4","DOID.1240"
"MME","DOID.1240"
"MMP2","DOID.1240"
"MMP7","DOID.1240"
"MMP9","DOID.1240"
"MN1","DOID.1240"
"MNT","DOID.1240"
"MPL","DOID.1240"
"MPO","DOID.1240"
"ABCC1","DOID.1240"
"ASNS","DOID.1240"
"VN1R17P","DOID.1240"
"MIR328","DOID.1240"
"MIR196B","DOID.1240"
"MSH2","DOID.1240"
"MTCP1","DOID.1240"
"MTHFD1","DOID.1240"
"MTHFR","DOID.1240"
"MTR","DOID.1240"
"MTRR","DOID.1240"
"MUC1","DOID.1240"
"MUTYH","DOID.1240"
"MXI1","DOID.1240"
"MYB","DOID.1240"
"MYC","DOID.1240"
"MYCN","DOID.1240"
"MYH11","DOID.1240"
"ATF1","DOID.1240"
"NACA","DOID.1240"
"NAIP","DOID.1240"
"CEACAM6","DOID.1240"
"NBN","DOID.1240"
"NCAM1","DOID.1240"
"NCL","DOID.1240"
"ATM","DOID.1240"
"NF1","DOID.1240"
"NFATC2","DOID.1240"
"NFE2L2","DOID.1240"
"NFIX","DOID.1240"
"NFKB1","DOID.1240"
"NGF","DOID.1240"
"NKX2-2","DOID.1240"
"NNAT","DOID.1240"
"NME1","DOID.1240"
"NME2","DOID.1240"
"NNMT","DOID.1240"
"NODAL","DOID.1240"
"NOS2","DOID.1240"
"NOTCH1","DOID.1240"
"NOTCH2","DOID.1240"
"NOTCH3","DOID.1240"
"NOV","DOID.1240"
"NPM1","DOID.1240"
"NRAS","DOID.1240"
"NT5E","DOID.1240"
"NTRK1","DOID.1240"
"ROR1","DOID.1240"
"NUMA1","DOID.1240"
"NUP98","DOID.1240"
"OGG1","DOID.1240"
"TNFRSF11B","DOID.1240"
"OPRK1","DOID.1240"
"ORM1","DOID.1240"
"OSM","DOID.1240"
"P2RX5","DOID.1240"
"P2RX7","DOID.1240"
"NOX4","DOID.1240"
"SERPINE1","DOID.1240"
"IL21R","DOID.1240"
"PRKN","DOID.1240"
"PAX4","DOID.1240"
"PAX5","DOID.1240"
"IGK","DOID.1240"
"SPOCK3","DOID.1240"
"PBX1","DOID.1240"
"PBX2","DOID.1240"
"PCBP2","DOID.1240"
"FOXP3","DOID.1240"
"PCM1","DOID.1240"
"LEF1","DOID.1240"
"CRIM1","DOID.1240"
"NT5C3A","DOID.1240"
"TLR7","DOID.1240"
"GMPR2","DOID.1240"
